Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Vilnius, Pašilaičiai, Laisvės pr.",Vilnius, Pašilaičiai,97 000 ,"
                            2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                        ",                        2 k.. 60 ,"2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas","                        2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                       "," 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                       ",/butai-vilniuje-pasilaiciuose-laisves-pr-4-27812406/?return_url=%2Fbutai%2F%3Fobj%3D1
"Aleksotas, Stirnų g.",Aleksotas, Stirnų g.,380 ,"
                            2 rooms, 53 m², 2/3 floor, 2008 year, gas, brick                        ", 53 ,2, 2008 , 2/3 ,/butu-nuoma-kaune-aleksote-stirnu-g-suremontuotas-naujos-staybos-butas-kaune-4-1080073/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Laisvės al.",Centras, Laisvės al.,590 ,"
                            2 rooms, 56 m², 5/6 floor, 1956 year, central, brick                        ", 56 ,2, 1956 , 5/6 ,/butu-nuoma-kaune-centre-laisves-al-ypatingai-jaukus-ir-siltas-skrupulingai-4-1078771/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Vilniaus g.",Senamiestis, Vilniaus g.,580 ,"
                            2 rooms, 54 m², 2/3 floor, 1893 year, central, central thermostat, brick                        ", 54 ,2, 1893 , 2/3 ,/butu-nuoma-kaune-senamiestyje-vilniaus-g-butas-naujai-suremontuotasviskas-naujadar-4-967919/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Kęstučio g.",Centras, Kęstučio g.,329 ,"
                            1 rooms, 20 m², 7/7 floor, 2018 year, gas, brick                        ", 20 ,1, 2018 , 7/7 ,/butu-nuoma-kaune-centre-kestucio-g-apgyvendinimas-studentu-viesbutyje-solo-4-855775/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Algirdo g.",Žaliakalnis, Algirdo g.,580 ,"
                            2 rooms, 60 m², 2/2 floor, 1957 year, gas, brick                        ", 60 ,2, 1957 , 2/2 ,/butu-nuoma-kaune-zaliakalnyje-algirdo-g-isnuomojamas-2-kambariu-butas-labai-ramioje-4-1027127/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Kęstučio g.",Centras, Kęstučio g.,420 ,"
                            2 rooms, 35 m², 3/5 floor, 1936 year, central thermostat, brick                        ", 35 ,2, 1936 , 3/5 ,/butu-nuoma-kaune-centre-kestucio-g-puikus-pasiulymas-norintiems-gyventi-4-1053807/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, Laisvės al.",Centras, Laisvės al.,600 ,"
                            2 rooms, 56 m², 3/4 floor, 1980 year, central, brick                        ", 56 ,2, 1980 , 3/4 ,/butu-nuoma-kaune-centre-laisves-al-naujas-butas-laisves-alejoje-butas-4-1013965/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Tyrlaukio g.",Šilainiai, Tyrlaukio g.,470 ,"
                            3 rooms, 61 m², 1/3 floor, 2019 year, gas, brick                        ", 61 ,3, 2019 , 1/3 ,/butu-nuoma-kaune-silainiuose-tyrlaukio-g-naujas-butas-naujos-statybos-name-4-905351/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Aušros g.",Žaliakalnis, Aušros g.,510 ,"
                            3 rooms, 85,8 m², 4/7 floor, 2007 year, central thermostat, brick                        ", 85.8 ,3, 2007 , 4/7 ,/butu-nuoma-kaune-zaliakalnyje-ausros-g-prestizineje-miesto-vietoje-zaliakalnyje-4-1080443/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,320 ,"
                            1 rooms, 31 m², 4/5 floor, 1976 year, central, block house                        ", 31 ,1, 1976 , 4/5 ,/butu-nuoma-kaune-dainavoje-v-kreves-pr-isnuomojamas-be-tarpininku-puikiai-4-1080305/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Vilniaus g.",Senamiestis, Vilniaus g.,490 ,"
                            2 rooms, 47 m², 2/3 floor, 1900 year, central thermostat, gas, brick                        ", 47 ,2, 1900 , 2/3 ,/butu-nuoma-kaune-senamiestyje-vilniaus-g-senamiescio-sirdyje-salia-katedros-vilniaus-4-1079001/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, K. Baršausko g.",Dainava, K. Baršausko g.,310 ,"
                            1 rooms, 30 m², 3/4 floor, 1961 year, central thermostat, brick                        ", 30 ,1, 1961 , 3/4 ,/butu-nuoma-kaune-dainavoje-k-barsausko-g-isnuomojamas-jaukus-1-kambario-butas-naujai-4-1079539/?return_url=%2Fbutu-nuoma%2Fkaune%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
