Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Žemutiniai Kaniūkai, Įkalnės aklg.",Žemutiniai Kaniūkai, Įkalnės aklg.,113 434 ,"
                            3 rooms, 76,13 m², 2/4 floor, 2021 year, brick, gas, partial decoration                        ", 76.13 ,3, 2021 , 2/4 ,/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg--nauju-butu-kvartalas-lampedzio-takas-1-2990645/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Partizanų g.",Dainava, Partizanų g.,87 470 ,"
                            3 rooms, 57,35 m², 2/7 floor, 2021 year, brick, central thermostat, partial decoration                        ", 57.35 ,3, 2021 , 2/7 ,/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-3023133/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemutiniai Kaniūkai, Įkalnės aklg.",Žemutiniai Kaniūkai, Įkalnės aklg.,113 240 ,"
                            3 rooms, 76 m², 3/4 floor, 2021 year, brick, gas, partial decoration                        ", 76 ,3, 2021 , 3/4 ,/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg--nauju-butu-kvartalas-lampedzio-takas-1-2990651/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Partizanų g.",Dainava, Partizanų g.,77 620 ,"
                            2 rooms, 41,9 m², 6/7 floor, 2020 year, brick, central thermostat, partial decoration                        ", 41.9 ,2, 2020 , 6/7 ,/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-3031461/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Kalnų g.",Šilainiai, Kalnų g.,122 472 ,"
                            3 rooms, 85,96 m², 1/4 floor, 2017 year, brick, gas, partial decoration                        ", 85.96 ,3, 2017 , 1/4 ,/butai-kaune-silainiuose-kalnu-g-akaciju-vilos-tai-bustas-vienoje-1-2669975/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Studentų g.",Žaliakalnis, Studentų g.,154 900 ,"
                            3 rooms, 101,17 m², 1/3 floor, 2020 year, brick, gas, partial decoration                        ", 101.17 ,3, 2020 , 1/3 ,/butai-kaune-zaliakalnyje-studentu-g-1-3019617/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aukštieji Šančiai, Verkių g.",Aukštieji Šančiai, Verkių g.,75 000 ,"
                            2 rooms, 45,55 m², 1/6 floor, 2022 year, monolithic, central thermostat, partial decoration                        ", 45.55 ,2, 2022 , 1/6 ,/butai-kaune-aukstuosiuose-sanciuose-verkiu-g-azuolu-namai-tai-namai-skirti-1-3015405/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aukštieji Šančiai, Verkių g.",Aukštieji Šančiai, Verkių g.,94 500 ,"
                            3 rooms, 55,82 m², 2/6 floor, 2022 year, monolithic, central thermostat, partial decoration                        ", 55.82 ,3, 2022 , 2/6 ,/butai-kaune-aukstuosiuose-sanciuose-verkiu-g-azuolu-namai-tai-namai-skirti-1-3015415/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,61 600 ,"
                            2 rooms, 44 m², 2/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 44 ,2, 2021 , 2/4 ,/butai-kaune-dainavoje-v-kreves-pr-butus-parduoda-projekto-vystytojas-370-609-1-3030235/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,89 088 ,"
                            3 rooms, 61,44 m², 3/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 61.44 ,3, 2021 , 3/4 ,/butai-kaune-dainavoje-v-kreves-pr-butus-parduoda-projekto-vystytojas-370-609-1-3026203/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,66 386 ,"
                            2 rooms, 42,83 m², 2/4 floor, 2021 year, brick, central thermostat, sunbatteries, partial decoration                        ", 42.83 ,2, 2021 , 2/4 ,/butai-kaune-dainavoje-v-kreves-pr-butus-parduoda-projekto-vystytojas-370-609-1-3024551/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, Vokiečių g.",Žemieji Šančiai, Vokiečių g.,99 900 ,"
                            3 rooms, 59,3 m², 4/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 59.3 ,3, 2021 , 4/4 ,/butai-kaune-sanciuose-vokieciu-g-butus-parduoda-projekto-vystytojas-370-1-2935701/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, Vokiečių g.",Žemieji Šančiai, Vokiečių g.,76 590 ,"
                            2 rooms, 42,55 m², 2/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 42.55 ,2, 2021 , 2/4 ,/butai-kaune-sanciuose-vokieciu-g-arciau-nemuno-tai-modernios-architekturos-1-2934567/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, Vokiečių g.",Žemieji Šančiai, Vokiečių g.,68 134 ,"
                            2 rooms, 35,86 m², 1/4 floor, 2021 year, brick, central thermostat, partial decoration                        ", 35.86 ,2, 2021 , 1/4 ,/butai-kaune-sanciuose-vokieciu-g-butus-parduoda-projekto-vystytojas-370-609-1-2919663/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,61 670 ,"
                            2 rooms, 44,05 m², 2/4 floor, 2022 year, block house, central thermostat, partial decoration                        ", 44.05 ,2, 2022 , 2/4 ,/butai-kaune-dainavoje-v-kreves-pr-1-3029917/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Pramonės pr.",Dainava, Pramonės pr.,72 900 ,"
                            2 rooms, 50 m², 1/9 floor, 1973 year, block house, central, fully equipped                        ", 50 ,2, 1973 , 1/9 ,/butai-kaune-dainavoje-pramones-pr-parduodamas-butas-2-kambariu-pramones-pr-1-3025803/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Savanorių pr.",Žaliakalnis, Savanorių pr.,69 900 ,"
                            2 rooms, 50 m², 5/5 floor, 1967 year, brick, central, fully equipped                        ", 50 ,2, 1967 , 5/5 ,/butai-kaune-zaliakalnyje-savanoriu-pr-parduodamas-25-kambariu-butas-savanoriu-pr-1-3021885/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, A. Juozapavičiaus pr.",Žemieji Šančiai, A. Juozapavičiaus pr.,99 277 ,"
                            2 rooms, 44,32 m², 4/16 floor, 2021 year, monolithic, central thermostat, partial decoration                        ", 44.32 ,2, 2021 , 4/16 ,/butai-kaune-sanciuose-a-juozapaviciaus-pr-nt-technologiju-ir-kokybes-simbolis-1-3031891/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Radvilėnų pl.",Žaliakalnis, Radvilėnų pl.,136 400 ,"
                            3 rooms, 69,61 m², 3/9 floor, 2020 year, brick, central thermostat, partial decoration                        ", 69.61 ,3, 2020 , 3/9 ,/butai-kaune-zaliakalnyje-radvilenu-pl-isskirtinis-butas-su-didziule-90-kvm-pilnai-1-3007453/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Radvilėnų pl.",Žaliakalnis, Radvilėnų pl.,133 400 ,"
                            3 rooms, 71,98 m², 3/9 floor, 2020 year, brick, central thermostat, partial decoration                        ", 71.98 ,3, 2020 , 3/9 ,/butai-kaune-zaliakalnyje-radvilenu-pl-isskirtinis-butas-su-net-65-kvm-terasa-1-3007447/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Radvilėnų pl.",Žaliakalnis, Radvilėnų pl.,110 000 ,"
                            2 rooms, 50 m², 9/9 floor, 2020 year, brick, central thermostat, partial decoration                        ", 50 ,2, 2020 , 9/9 ,/butai-kaune-zaliakalnyje-radvilenu-pl-butas-su-50-kvm-privacia-terasa-ant-stogo-1-3007417/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Radvilėnų pl.",Žaliakalnis, Radvilėnų pl.,154 000 ,"
                            3 rooms, 71,92 m², 4/9 floor, 2020 year, brick, central thermostat, fully equipped                        ", 71.92 ,3, 2020 , 4/9 ,/butai-kaune-zaliakalnyje-radvilenu-pl-radvilenu-namai-tikram-zaliakalnio-1-3007455/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Centras, Krėvos g.",Centras, Krėvos g.,239 800 ,"
                            4 rooms, 96 m², 6/6 floor, 2020 year, brick, central thermostat, partial decoration                        ", 96 ,4, 2020 , 6/6 ,/butai-kaune-centre-krevos-g-parko-namai-tai-isskirtinis-uzdaras-nauju-1-2886905/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
