Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Eiguliai, Šiaurės pr.", Eiguliai, Šiaurės pr.,"45,900 ", 33.13,1,1978,1/5,https://www.capital.lt/lt/parduodamas-butas-siaures-pr-40-eiguliuose-kaune-3313-kvm-ploto-1-kambariai-p231800
"Kauno m. sav., Kauno m., Dainava, Pašilės g.", Dainava, Pašilės g.,"73,000 ", 44.17,2,1966,1/5,https://www.capital.lt/lt/parduodamas-butas-pasiles-g-56-dainavoje-kaune-4417-kvm-ploto-2-kambariai-p231785
"Kauno m. sav., Kauno m., Dainava, Kovo 11-osios g.", Dainava, Kovo 11-osios g.,"69,000 ", 43.49,2,1972,4/5,https://www.capital.lt/lt/parduodamas-butas-kovo-11-osios-g-dainavoje-kaune-4349-kvm-ploto-2-kambariai-p231746
"Kauno m. sav., Kauno m., Kalniečiai, P. Lukšio g.", Kalniečiai, P. Lukšio g.,"79,999 ", 83.76,4,1982,6/9,https://www.capital.lt/lt/parduodamas-butas-p-luksio-g-12-kalnieciuose-kaune-8376-kvm-ploto-4-kambariai-p231726
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"68,000 ", 61.44,3,1967,4/5,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-5-dainavoje-kaune-6144-kvm-ploto-3-kambariai-p231722
"Kauno m. sav., Kauno m., Centras, V. Putvinskio g.", Centras, V. Putvinskio g.,"279,000 ", 144.72,5,1933,2,https://www.capital.lt/lt/parduodamas-butas-v-putvinskio-g-centre-kaune-14472-kvm-ploto-5-kambariai-p231709
"Kauno m. sav., Kauno m., Centras, Tunelio g.", Centras, Tunelio g.,"54,999 ", 47.75,3,1950,2/2,https://www.capital.lt/lt/parduodamas-butas-tunelio-g-15-centre-kaune-4775-kvm-ploto-3-kambariai-p231594
"Kauno m. sav., Kauno m., Vilijampolė, Panerių g.", Vilijampolė, Panerių g.,"42,000 ", 37.19,2,1963,2/5,https://www.capital.lt/lt/parduodamas-3719-2-kmbr-butas-paneriu-g-vilijampole-kaunas-p231588
"Kauno m. sav., Kauno m., Taikos pr.", Taikos pr.,NaN,"83,000 ",64.0,NaN,1975,3/9,https://www.capital.lt/lt/triju-kambariu-butas-zaliakalnyje-p231529
"Kauno m. sav., Kauno m., Eiguliai, Šiaurės pr.", Eiguliai, Šiaurės pr.,"65,900 ", 51.11,2,1978,4/5,https://www.capital.lt/lt/parduodamas-butas-siaures-pr-40-eiguliuose-kaune-5111-kvm-ploto-2-kambariai-p231501
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"75,000 ", 62.65,3,1976,11/12,https://www.capital.lt/lt/parduodamas-erdvus-3-k-butas-dainavos-rajone--p231497
"Kauno m. sav., Kauno m., Senamiestis, Šv. Gertrūdos g.", Senamiestis, Šv. Gertrūdos g.,"330,000 ", 71.14,2,2017,3/4,https://www.capital.lt/lt/parduodamas-butas-sv-gertrudos-g-51-senamiestyje-kaune-7114-kvm-ploto-2-kambariai-p231469
"Kauno m. sav., Kauno m., Eiguliai, S. Žukausko g.", Eiguliai, S. Žukausko g.,"49,900 ", 36.98,1,1992,12/12,https://www.capital.lt/lt/parduodamas-butas-s-zukausko-g-26-eiguliuose-kaune-3698-kvm-ploto-1-kambariai-p231409
"Kauno m. sav., Kauno m., Centras, Laisvės al.", Centras, Laisvės al.,"360,000 ", 197.07,4,2008,6/7,https://www.capital.lt/lt/butas-paciame-miesto-centre-su-panoraminiu-vaizdu-bei-nuosava-70-kvm-terasa-p231398
"Kauno m. sav., Kauno m., Senamiestis, Benediktinių g.", Senamiestis, Benediktinių g.,"128,000 ", 62.0,2,1965,1/2,https://www.capital.lt/lt/parduodamas-butas-benediktiniu-g-senamiestyje-kaune-6200-kvm-ploto-2-kambariai-p231396
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"66,900 ", 61.28,3,1969,5/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-70-dainavoje-kaune-6128-kvm-ploto-3-kambariai-p231387
"Kauno m. sav., Kauno m., Kalniečiai, Geležinio Vilko g.", Kalniečiai, Geležinio Vilko g.,"105,000 ", 81.78,4,1979,8/9,https://www.capital.lt/lt/parduodamas-butas-gelezinio-vilko-g-1-kalnieciuose-kaune-8178-kvm-ploto-4-kambariai-p231368
"Kauno m. sav., Kauno m., Eiguliai, Sukilėlių pr.", Eiguliai, Sukilėlių pr.,"66,000 ", 49.75,2,1980,4/5,https://www.capital.lt/lt/parduodamas-butas-sukileliu-pr-102-eiguliuose-kaune-4975-kvm-ploto-2-kambariai-p231364
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"165,000 ", 107.0,4,2021,3/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-10700-kvm-ploto-4-kambariai-p231352
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"85,000 ", 49.23,2,2021,1/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-4923-kvm-ploto-2-kambariai-p231348
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"63,900 ", 61.0,3,1973,3/5,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-dainavoje-kaune-6100-kvm-ploto-3-kambariai-p231339
"Kauno m. sav., Kauno m., Vilijampolė, Panerių g.", Vilijampolė, Panerių g.,"73,000 ", 38.0,2,2018,3/4,https://www.capital.lt/lt/parduodamas-butas-paneriu-g-51-vilijampoleje-kaune-3800-kvm-ploto-2-kambariai-p231324
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"54,900 ", 43.93,2,1967,5/5,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-27-dainavoje-kaune-4393-kvm-ploto-2-kambariai-p231314
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,"60,000 ", 43.58,2,1970,2/5,https://www.capital.lt/lt/parduodamas-butas-pramones-pr-49-dainavoje-kaune-4358-kvm-ploto-2-kambariai-p231298
"Kauno m. sav., Kauno m., Senamiestis, Vilniaus g.", Senamiestis, Vilniaus g.,"97,500 ", 44.95,2,1969,1/3,https://www.capital.lt/lt/parduodamas-butas-kauno-senamiestyje-vilniaus-g-pirmame-aukste-4495-kvm-ploto-2-kambariai-p231291
"Kauno m. sav., Kauno m., Vilijampolė, Panerių g.", Vilijampolė, Panerių g.,"59,500 ", 42.0,2,2018,4/4,https://www.capital.lt/lt/parduodamas-butas-paneriu-g-51-vilijampoleje-kaune-4200-kvm-ploto-2-kambariai-p231150
"Kauno m. sav., Kauno m., Žaliakalnis, Saulės g.", Žaliakalnis, Saulės g.,"72,900 ", 50.72,2,1984,1/5,https://www.capital.lt/lt/parduodamas-butas-saules-g-22-zaliakalnyje-kaune-5072-kvm-ploto-2-kambariai-p231144
