Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,350 , 44.0,2,1973,5/5,https://www.capital.lt/lt/nuomojamas-butas-partizanu-g-170-dainavoje-kaune-4400-kvm-ploto-2-kambariai-p231814
"Kauno m. sav., Kauno m., Žaliakalnis, Radvilėnų pl.", Žaliakalnis, Radvilėnų pl.,450 , 63.7,2,2005,2/5,https://www.capital.lt/lt/nuomojamas-butas-radvilenu-pl-5-zaliakalnyje-kaune-6370-kvm-ploto-2-kambariai-p231798
"Kauno m. sav., Kauno m., Petrašiūnai, T. Masiulio g.", Petrašiūnai, T. Masiulio g.,370 , 45.21,2,1966,5/5,https://www.capital.lt/lt/nuomojamas-butas-t-masiulio-g-17-petrasiunuose-kaune-4521-kvm-ploto-2-kambariai-p231786
"Kauno m. sav., Kauno m., Žaliakalnis, J. Basanavičiaus al.", Žaliakalnis, J. Basanavičiaus al.,220 , 18.0,1,1969,2/5,https://www.capital.lt/lt/nuomojamas-butas-j-basanaviciaus-al-50-zaliakalnyje-kaune-1800-kvm-ploto-1-kambariai-p231765
"Kauno m. sav., Kauno m., Centras, Žemaičių g.", Centras, Žemaičių g.,750 , 63.02,3,1930,2/2,https://www.capital.lt/lt/nuomojamas-butas-zemaiciu-g-20-centre-kaune-3-kambariu-6302-kvm-ploto--p231621
"Kauno m. sav., Kauno m., Žaliakalnis, A. Baranausko g.", Žaliakalnis, A. Baranausko g.,600 , 54.0,3,2020,2/3,https://www.capital.lt/lt/nuomojamas-butas-a-baranausko-g-1-zaliakalnyje-kaune-5400-kvm-ploto-3-kambariai-p231470
"Kauno m. sav., Kauno m., Žaliakalnis, Kalniečių g.", Žaliakalnis, Kalniečių g.,300 , 34.06,2,1983,3/5,https://www.capital.lt/lt/nuomojamas-butas-kalnieciu-g-174-zaliakalnyje-kaune-3406-kvm-ploto-2-kambariai-p231238
"Kauno m. sav., Kauno m., Šilainiai, Mosėdžio g.", Šilainiai, Mosėdžio g.,800 , 75.63,3,2017,1/2,https://www.capital.lt/lt/nuomojamas-butas-mosedzio-g-6b-silainiuose-kaune-7563-kvm-ploto-3-kambariai-p231187
"Kauno m. sav., Kauno m., Dainava, Pramonės pr. 41A", Dainava, Pramonės pr. 41A,600 , 50.0,2,,8/9,https://www.capital.lt/lt/nuomojamas-modernus-2-kambariu-butas-dainavos-apartamentuose-p231127
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,450 , 45.0,2,1964,4/5,https://www.capital.lt/lt/nuomojamas-butas-varniu-g-45-vilijampoleje-kaune-4500-kvm-ploto-2-kambariai-p230671
"Kauno m. sav., Kauno m., Freda, Lakūnų pl.", Freda, Lakūnų pl.,450 , 52.99,2,2019,1/2,https://www.capital.lt/lt/nuomojamas-butas-lakunu-pl-44-fredoje-kaune-5299-kvm-ploto-2-kambariai-p230371
"Kauno m. sav., Kauno m., Žaliakalnis, Rimvydo g.", Žaliakalnis, Rimvydo g.,380 , 34.73,2,1970,1/5,https://www.capital.lt/lt/nuomojamas-butas-rimvydo-g-zaliakalnyje-kaune-3473-kvm-ploto-2-kambariai-p230269
"Kauno m. sav., Kauno m., Žaliakalnis, Giedraičių g.", Žaliakalnis, Giedraičių g.,260 , 30.0,2,1940,2/2,https://www.capital.lt/lt/zaliakalnyje-nuomojamas-2-k-butas-p230261
"Kauno m. sav., Kauno m., Kalniečiai, V. Landsbergio-Žemkalnio g.", Kalniečiai, V. Landsbergio-Žemkalnio g.,280 , 33.35,1,1977,5/5,https://www.capital.lt/lt/jaukus-1-kamb-butas-kalnieciuose-p229874
"Kauno m. sav., Kauno m., Centras, A. Mickevičiaus g.", Centras, A. Mickevičiaus g.,600 , 51.47,3,1978,6/6,https://www.capital.lt/lt/nuomojamas-butas-a-mickeviciaus-g-6-centre-kaune-5147-kvm-ploto-3-kambariai-p228989
"Kauno m. sav., Kauno m., Centras, Kęstučio g.", Centras, Kęstučio g.,450 , 25.76,1,1936,4/5,https://www.capital.lt/lt/nuomojamas-butas-kestucio-g-27-centre-kaune-2576-kvm-ploto-1-kambariai-p228499
"Kauno m. sav., Kauno m., Petrašiūnai, Ekskavatorininkų g.", Petrašiūnai, Ekskavatorininkų g.,230 , 30.0,1,1957,1/2,https://www.capital.lt/lt/nuomojamas-1-kambario-butas-petrasiunuose-p228424
"Kauno m. sav., Kauno m., Aleksotas, A. J. Povilaičio g.", Aleksotas, A. J. Povilaičio g.,600 , 77.4,3,2013,1/2,https://www.capital.lt/lt/nuomuojamas-butas-aleksote-p228281
"Kauno m. sav., Kauno m., Vilijampolė, Panerių g.", Vilijampolė, Panerių g.,699 , 81.13,3,2017,3/3,https://www.capital.lt/lt/nuomojamas-butas-paneriu-g-252d-vilijampoleje-kaune-8113-kvm-ploto-3-kambariai-p228108
"Kauno m. sav., Kauno m., Senamiestis, Šv. Gertrūdos g.", Senamiestis, Šv. Gertrūdos g.,500 , 80.0,3,1974,2/3,https://www.capital.lt/lt/nuomojamas-butas-sv-gertrudos-g-44-senamiestyje-kaune-8000-kvm-ploto-3-kambariai-p227427
"Kauno m. sav., Kauno m., Šilainiai, Kuršių g.", Šilainiai, Kuršių g.,450 , 63.0,3,1989,3/5,https://www.capital.lt/lt/buto-silainiuose-nuoma-p226413
"Kauno m. sav., Kauno m., Dainava, K. Baršausko g.", Dainava, K. Baršausko g.,250 , 17.0,1,,4/4,https://www.capital.lt/lt/nuomojamas-butas-k-barsausko-g-87-dainavoje-kaune-1700-kvm-ploto-1-kambariai-p226187
"Kauno m. sav., Kauno m., Eiguliai, P. Plechavičiaus g.", Eiguliai, P. Plechavičiaus g.,400 , 50.0,2,1976,4/5,https://www.capital.lt/lt/nuomojamas-naujai-irengtas-2-k-butas-eiguliuose-p223043
"Kauno m. sav., Kauno m., Senamiestis, M. Daukšos g.", Senamiestis, M. Daukšos g.,499 , 53.04,2,1927,2/3,https://www.capital.lt/lt/nuomojamas-butas-m-dauksos-g-5-senamiestyje-kaune-5304-kvm-ploto-2-kambariai-p222260
"Kauno m. sav., Kauno m., Centras, Birštono g.", Centras, Birštono g.,450 , 39.65,2,1910,1/1,https://www.capital.lt/lt/nuomojamas-butas-birstono-g-centre-kaune-3965-kvm-ploto-2-kambariai-p222202
"Kauno m. sav., Kauno m., Centras, Karaliaus Mindaugo pr.", Centras, Karaliaus Mindaugo pr.,400 , 48.8,2,1953,4/6,https://www.capital.lt/lt/isnuomojamas-2-kmbr-butas-karaliaus-mindaugo-pr-kauno-centre-p220055
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,750 , 69.0,2,2018,6/7,https://www.capital.lt/lt/dizaineriu-moderniai-irengtas-butas-su-vaizdu-i-senamiesti--p217798
"Kauno m. sav., Kauno m., Senamiestis, M. Valančiaus g.", Senamiestis, M. Valančiaus g.,350 , 42.0,1,1950,3/3,https://www.capital.lt/lt/nuomuojamas-butas-senamiestyje-tik-300m-iki-kauno-rotuses-p217543
"Kauno m. sav., Kauno m., Petrašiūnai, R. Kalantos g.", Petrašiūnai, R. Kalantos g.,300 , 30.0,1,1980,2/3,https://www.capital.lt/lt/ilgalaike-nuoma-hostelyje-baltosios-bures-p214878
